culvert_diameter_m,velocity_lower_exclusive_m_per_s,velocity_upper_inclusive_m_per_s,nominal_d50_mm,apron_length_diameters
0.9,0.0,1.3,100,3
0.9,1.3,2.9,200,3
0.9,2.9,3.4,300,4
0.9,3.4,3.9,400,4
0.9,3.9,4.5,500,5
0.9,4.5,4.9,600,5
1.2,0.0,1.3,100,3
1.2,1.3,2.2,200,3
1.2,2.2,3.4,300,4
1.2,3.4,3.9,400,4
1.2,3.9,4.5,500,5
1.2,4.5,4.9,600,5
1.5,0.0,0.9,100,3
1.5,0.9,2.2,200,3
1.5,2.2,3.4,300,4
1.5,3.4,3.9,400,4
1.5,3.9,4.5,500,5
1.5,4.5,4.9,600,5
1.8,0.0,0.9,100,3
1.8,0.9,1.8,200,3
1.8,1.8,2.8,300,4
1.8,2.8,3.4,400,4
1.8,3.4,4.2,500,5
1.8,4.2,4.9,600,5
2.1,0.0,0.9,100,3
2.1,0.9,1.2,200,3
2.1,1.2,2.3,300,4
2.1,2.3,2.8,400,4
2.1,2.8,3.9,500,5
2.1,3.9,4.9,600,5
2.4,0.0,0.9,100,3
2.4,0.9,1.2,200,3
2.4,1.2,2.3,300,4
2.4,2.3,2.8,400,4
2.4,2.8,3.7,500,5
2.4,3.7,4.7,600,5
2.7,0.0,0.9,100,3
2.7,0.9,1.2,200,3
2.7,1.2,2.3,300,4
2.7,2.3,2.8,400,4
2.7,2.8,3.7,500,5
2.7,3.7,4.7,600,5
